file,channel,time_sec,time_min,p2p_uv
data\raw\siena\PN06\PN06-1.edf,EEG Fp1,245.0,4.083333333333333,225.0
data\raw\siena\PN06\PN06-1.edf,EEG Fp1,245.5,4.091666666666667,225.0
data\raw\siena\PN06\PN06-1.edf,EEG Fp1,526.0,8.766666666666667,210.25
data\raw\siena\PN06\PN06-1.edf,EEG Fp1,526.5,8.775,210.25
data\raw\siena\PN06\PN06-1.edf,EEG Fp1,1254.0,20.9,274.5
data\raw\siena\PN06\PN06-1.edf,EEG Fp1,1254.5,20.908333333333335,4216.125
data\raw\siena\PN06\PN06-1.edf,EEG Fp1,1255.0,20.916666666666668,4003.875
data\raw\siena\PN06\PN06-1.edf,EEG Fp1,1255.5,20.925,3582.375
data\raw\siena\PN06\PN06-1.edf,EEG Fp1,1256.0,20.933333333333334,1485.625
data\raw\siena\PN06\PN06-1.edf,EEG Fp1,1256.5,20.941666666666666,421.25
data\raw\siena\PN06\PN06-1.edf,EEG Fp1,1257.0,20.95,357.0
data\raw\siena\PN06\PN06-1.edf,EEG Fp1,1257.5,20.958333333333332,428.9999999999999
data\raw\siena\PN06\PN06-1.edf,EEG Fp1,1258.0,20.966666666666665,218.4999999999999
data\raw\siena\PN06\PN06-1.edf,EEG Fp1,1720.0,28.666666666666668,201.875
data\raw\siena\PN06\PN06-1.edf,EEG Fp1,3765.0,62.75,355.5
data\raw\siena\PN06\PN06-1.edf,EEG Fp1,3765.5,62.75833333333333,355.5
data\raw\siena\PN06\PN06-1.edf,EEG Fp1,3773.0,62.88333333333333,211.25
data\raw\siena\PN06\PN06-1.edf,EEG Fp1,3773.5,62.891666666666666,389.99999999999994
data\raw\siena\PN06\PN06-1.edf,EEG Fp1,3774.0,62.9,408.125
data\raw\siena\PN06\PN06-1.edf,EEG Fp1,3774.5,62.90833333333333,322.0
data\raw\siena\PN06\PN06-1.edf,EEG Fp1,3775.0,62.916666666666664,210.625
