file,channel,time_sec,time_min,p2p_uv
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,2.0,0.03333333333333333,217.375
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,2.5,0.041666666666666664,250.875
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,3.0,0.05,246.49999999999997
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,5.5,0.09166666666666666,229.375
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,6.0,0.1,220.125
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,11.0,0.18333333333333332,231.5
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,11.5,0.19166666666666668,263.875
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,15.5,0.25833333333333336,233.99999999999997
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,16.0,0.26666666666666666,258.74999999999994
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,16.5,0.275,272.5
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,18.5,0.30833333333333335,233.125
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,19.0,0.31666666666666665,231.625
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,20.5,0.3416666666666667,228.62499999999997
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,21.0,0.35,351.5
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,21.5,0.35833333333333334,378.375
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,22.5,0.375,230.375
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,23.0,0.38333333333333336,230.375
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,23.5,0.39166666666666666,270.25
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,24.0,0.4,256.875
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,24.5,0.4083333333333333,301.375
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,25.0,0.4166666666666667,246.125
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,32.0,0.5333333333333333,289.75
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,32.5,0.5416666666666666,272.5
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,34.0,0.5666666666666667,232.87499999999997
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,34.5,0.575,232.87499999999997
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,35.0,0.5833333333333334,314.75
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,35.5,0.5916666666666667,283.25
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,39.5,0.6583333333333333,229.25
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,40.0,0.6666666666666666,218.125
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,40.5,0.675,200.875
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,43.0,0.7166666666666667,242.75
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,45.0,0.75,264.5
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,45.5,0.7583333333333333,259.5
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,46.0,0.7666666666666667,236.75
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,46.5,0.775,266.875
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,47.0,0.7833333333333333,213.125
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,51.5,0.8583333333333333,208.87499999999997
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,52.0,0.8666666666666667,206.74999999999997
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,60.0,1.0,207.625
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,60.5,1.0083333333333333,209.5
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,63.5,1.0583333333333333,228.25
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,64.0,1.0666666666666667,248.875
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,70.0,1.1666666666666667,242.24999999999997
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,74.5,1.2416666666666667,214.375
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,75.0,1.25,230.25
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,79.0,1.3166666666666667,218.0
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,79.5,1.325,220.5
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,80.0,1.3333333333333333,220.0
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,82.5,1.375,206.875
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,83.0,1.3833333333333333,224.625
data\raw\siena\PN10\PN10-2.edf,EEG Fp1,87.5,1.4583333333333333,310.75
