file,channel,time_sec,time_min,p2p_uv
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,1.0,0.016666666666666666,211.5
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,3.5,0.058333333333333334,248.75
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,4.0,0.06666666666666667,238.625
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,6.0,0.1,293.375
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,6.5,0.10833333333333334,305.5
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,7.0,0.11666666666666667,288.5
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,20.5,0.3416666666666667,254.5
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,21.0,0.35,369.25
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,21.5,0.35833333333333334,248.5
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,25.5,0.425,296.375
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,26.0,0.43333333333333335,315.875
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,45.0,0.75,323.25
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,45.5,0.7583333333333333,318.875
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,46.0,0.7666666666666667,365.625
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,46.5,0.775,368.875
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,49.5,0.825,314.75
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,50.0,0.8333333333333334,297.25
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,50.5,0.8416666666666667,299.125
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,54.5,0.9083333333333333,249.25
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,55.0,0.9166666666666666,323.25
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,59.0,0.9833333333333333,251.62499999999997
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,59.5,0.9916666666666667,359.49999999999994
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,60.0,1.0,302.5
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,65.0,1.0833333333333333,270.875
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,65.5,1.0916666666666666,313.5
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,69.5,1.1583333333333334,258.75
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,71.0,1.1833333333333333,391.25
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,71.5,1.1916666666666667,383.125
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,75.0,1.25,273.49999999999994
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,75.5,1.2583333333333333,317.5
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,76.0,1.2666666666666666,318.5
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,76.5,1.275,318.5
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,86.5,1.4416666666666667,274.875
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,87.0,1.45,332.375
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,96.0,1.6,329.0
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,96.5,1.6083333333333334,322.625
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,97.0,1.6166666666666667,371.25
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,99.5,1.6583333333333334,251.5
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,100.0,1.6666666666666667,306.25
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,100.5,1.675,368.0
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,105.5,1.7583333333333333,292.5
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,106.0,1.7666666666666666,264.0
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,108.0,1.8,280.0
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,108.5,1.8083333333333333,337.375
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,117.5,1.9583333333333333,203.75
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,121.0,2.0166666666666666,257.0
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,121.5,2.025,272.875
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,124.0,2.066666666666667,243.0
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,124.5,2.075,259.5
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,129.0,2.15,321.75
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,129.5,2.158333333333333,344.375
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,131.5,2.191666666666667,250.5
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,132.0,2.2,255.75
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,133.5,2.225,299.125
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,134.0,2.2333333333333334,331.24999999999994
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,134.5,2.2416666666666667,367.24999999999994
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,135.0,2.25,258.75
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,135.5,2.2583333333333333,285.125
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,137.0,2.283333333333333,278.75
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,137.5,2.2916666666666665,280.25
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,139.0,2.316666666666667,279.875
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,139.5,2.325,285.74999999999994
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,140.0,2.3333333333333335,279.0
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,140.5,2.341666666666667,248.625
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,141.0,2.35,213.12499999999997
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,143.0,2.3833333333333333,282.875
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,143.5,2.3916666666666666,263.75
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,144.0,2.4,235.375
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,153.5,2.558333333333333,263.625
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,154.0,2.566666666666667,284.125
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,154.5,2.575,313.87499999999994
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,158.5,2.6416666666666666,242.375
data\raw\siena\PN10\PN10-4.5.6.edf,EEG Fp1,159.0,2.65,296.625
