channel,mean,std,min,max,peak_to_peak,median,q01,q05,q25,q75,q95,q99,iqr,mad,nan_count,inf_count,nan_inf_ratio,flatline_total_sec,flatline_ratio,flatline_longest_sec,saturation_ratio,robust_z_outlier_ratio,low_variance_flag,high_variance_flag,extreme_peak_to_peak_flag
EEG Fp1,3.077628618816628e-06,4.770858194537569e-05,-0.00061,0.004091875,0.004701875,2.75e-06,-4.0249999999999996e-05,-1.85e-05,-4.625e-06,1.0124999999999999e-05,2.3125e-05,3.9875e-05,1.475e-05,7.374999999999999e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.005058624219968799,False,False,False
EEG F3,6.302408117809086e-06,1.2025337170754867e-05,-0.000181375,0.000261,0.000442375,6.5e-06,-2.5625e-05,-1.2375e-05,-5e-07,1.325e-05,2.4375e-05,3.6624999999999996e-05,1.375e-05,6.874999999999999e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0004952385595423817,False,False,False
EEG C3,4.55136185525546e-06,1.556739466921556e-05,-0.00020874999999999998,0.000399,0.00060775,4e-06,-2.7249999999999998e-05,-1.4999999999999999e-05,-2.875e-06,1.1e-05,2.3375e-05,4.6374999999999996e-05,1.3875e-05,7e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0036793502990119607,False,False,False
EEG P3,5.760231028381767e-06,1.6268283704386492e-05,-0.00019737499999999999,0.000307875,0.00050525,5.374999999999999e-06,-3.4e-05,-1.85e-05,-3.625e-06,1.475e-05,3.05e-05,4.85e-05,1.8375e-05,9.125000000000002e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0008515340613624545,False,False,False
EEG O1,1.2134331834210876e-05,2.204144467688964e-05,-0.0004475,0.0005117499999999999,0.0009592499999999999,1.175e-05,-4.0499999999999995e-05,-1.8874999999999998e-05,3.75e-07,2.35e-05,4.425e-05,6.8e-05,2.3125e-05,1.1625e-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0011992979719188768,False,False,False
EEG F7,7.384696508954102e-06,1.9888554181282458e-05,-0.0005065,0.00026812499999999997,0.0007746249999999999,7.75e-06,-4.5375e-05,-2.325e-05,-3.5e-06,1.875e-05,3.725e-05,5.7249999999999996e-05,2.225e-05,1.1124999999999998e-05,0,0,0.0,0.0,0.0,0.0,0.0,0.000655307462298492,False,False,False
EEG T3,5.294390504135784e-06,1.9361301911122408e-05,-0.0007815,0.000334375,0.001115875,5.6249999999999995e-06,-4.325e-05,-2.2875e-05,-4.875e-06,1.5875e-05,3.2999999999999996e-05,5.1624999999999994e-05,2.075e-05,1.0375e-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0013047240639625585,False,False,False
EEG T5,7.230571332228287e-06,2.324400335711194e-05,-0.0008711249999999999,0.00031299999999999996,0.0011841249999999998,7.499999999999999e-06,-5.0375e-05,-2.4e-05,-3.875e-06,1.8874999999999998e-05,3.9e-05,6.3125e-05,2.2749999999999997e-05,1.1374999999999999e-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0021138033021320854,False,False,False
EEG Fc1,6.323718077629357e-06,6.724899039966114e-06,-0.00014812499999999998,0.000116375,0.0002645,6.5e-06,-1.1249999999999999e-05,-4.1249999999999995e-06,2.4999999999999998e-06,1.0375e-05,1.6499999999999998e-05,2.2125e-05,7.875e-06,4e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0004946291601664066,False,False,False
EEG Fc5,4.47531772559965e-06,1.8139925592972558e-05,-0.000485625,0.0002765,0.000762125,4.875e-06,-4.5499999999999995e-05,-2.3624999999999998e-05,-4.9999999999999996e-06,1.45e-05,3.15e-05,4.9375e-05,1.95e-05,9.75e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0009250682527301092,False,False,False
EEG Cp1,5.273947237186369e-06,1.3469793576859127e-05,-0.000295625,0.0004075,0.000703125,4.9999999999999996e-06,-2.4625e-05,-1.2125e-05,-1.5e-06,1.1625e-05,2.2875e-05,3.7375e-05,1.3125e-05,6.5000000000000004e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0023218116224648986,False,False,False
EEG Cp5,5.601771523985962e-06,1.580663961260832e-05,-0.0003515,0.000541375,0.000892875,5.5e-06,-3.3625e-05,-1.8e-05,-3.25e-06,1.4249999999999999e-05,2.9e-05,4.5499999999999995e-05,1.75e-05,8.75e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0009502567602704108,False,False,False
EEG F9,2.991799007897814e-06,4.3498450676352285e-05,-0.0006425,0.0040783749999999995,0.004720874999999999,2.4999999999999998e-06,-4.9124999999999995e-05,-2.6124999999999998e-05,-7.625e-06,1.2625e-05,3.1e-05,5.625e-05,2.025e-05,1.0125e-05,0,0,0.0,0.0,0.0,0.0,0.0,0.002206025741029641,False,False,False
