sfreq,ch_a,ch_b,corr
512.0,EEG Fp1,EEG FP2,0.9094691728816288
512.0,EEG P3,EEG O1,0.908927277160758
512.0,EEG P3,EEG Cp5,0.9075761438105006
512.0,EEG P3,EEG Pz,0.900275939613282
512.0,EEG O1,EEG T5,0.9444201436574557
512.0,EEG O1,EEG O2,0.9697143589808849
512.0,EEG F7,EEG T3,0.9133250681793654
512.0,EEG F7,EEG Fc5,0.9195802337801179
512.0,EEG F7,EEG F9,0.9127690581746121
512.0,EEG T5,EEG Cp5,0.9452847684104443
512.0,EEG Cp1,EEG Pz,0.9118192567215746
512.0,EEG Pz,EEG Cp2,0.9074114820254965
512.0,EEG O2,EEG T6,0.9278382427155047
512.0,EEG T4,EEG Fc6,0.9187502638199222
512.0,EEG T4,EEG F10,0.9025731427247695
512.0,EEG P9,EEG P10,0.9969923958333479
