channel,total_power,delta_power,delta_ratio,theta_power,theta_ratio,alpha_power,alpha_ratio,beta_power,beta_ratio,gamma_power,gamma_ratio,low_freq_drift_ratio,high_freq_noise_ratio,line_50hz_ratio,line_60hz_ratio
EEG Fp1,3.2045544770753246e-10,2.0983647754777673e-10,0.6548070224703639,3.31083594784125e-11,0.10331657556537857,1.0687077492747765e-11,0.033349651470120915,5.852165878386232e-12,0.018262026500879717,7.666787997540287e-13,0.0023924661142092594,0.2383872582445929,0.008289015326173781,0.003385201433285201,0.00012330276618008673
EEG F3,1.8227835849712938e-10,1.0666162989099328e-10,0.5851579461786356,1.800368556253708e-11,0.0987702857924333,6.0696551793024574e-12,0.033298825101050304,3.6064333375169543e-12,0.019785307302807153,3.943305671491945e-13,0.0021633427599437407,0.28675908568730296,0.003872478471065763,0.0001644616392439441,7.521035620536313e-05
EEG C3,1.261813982562424e-10,7.37208236540892e-11,0.5842447830890328,1.3819265443613086e-11,0.1095190387377834,5.894410383016164e-12,0.04671378241542475,3.2646414290858103e-12,0.025872604632706256,2.8551875461884827e-13,0.002262764231214431,0.24048423358572044,0.003910760352379913,0.0002829147000499556,5.446358752545089e-05
EEG P3,3.6127706667645323e-10,2.314659277604873e-10,0.6406881286150938,4.0050251718957054e-11,0.11085744270290099,1.8856870222124942e-11,0.052195037995623667,9.90630428824724e-12,0.027420241144503563,7.04035918176042e-13,0.0019487423451833752,0.22068811812267872,0.00314962774479613,0.0001779744708580916,4.4340076513291375e-05
EEG O1,6.618586681081307e-10,4.271163929141287e-10,0.6453286985498071,7.153498798486135e-11,0.10808196890332841,2.9003375286508216e-11,0.04382110061263081,1.5739673920436875e-11,0.023781019542174247,1.1508003564455368e-12,0.0017387403261409362,0.22986389291192857,0.006130513179790696,0.0033089123413178145,4.5173636977537315e-05
EEG F7,5.001003497598837e-10,3.070963639967047e-10,0.6140694845427579,4.857988084077834e-11,0.09714026567688526,1.5604572346367327e-11,0.031202882289243845,7.926303351680184e-12,0.01584942573122752,6.933501084823033e-13,0.0013864219627424893,0.27905538945040576,0.0029589950476997693,0.0004703144032204474,5.18707521092176e-05
EEG T3,4.5577905942701964e-10,2.891762472815281e-10,0.6344658476522914,4.778576015327283e-11,0.10484413262282488,1.763781577917399e-11,0.03869817055954102,9.903844719671937e-12,0.021729486063099313,8.330951458832036e-13,0.0018278486662606328,0.24545943135628862,0.004725397275768896,0.0011221984804175716,7.478154912613283e-05
EEG T5,5.758873927345162e-10,3.7052735472587153e-10,0.6434024418671107,6.21761391313346e-11,0.1079657931667863,2.541919337324909e-11,0.04413917320285447,1.4076103783755588e-11,0.024442458649628164,9.307113608773773e-13,0.0016161342870487786,0.2300254346946585,0.002807620551329185,0.00020362966134576793,4.3097700699831387e-05
EEG Fc1,3.5597931093148705e-11,1.7549407577221563e-11,0.4929895372655289,3.7790948178140936e-12,0.10616051837185085,1.5987296700064377e-12,0.04491074680219645,1.1278363072317806e-12,0.03168263639481138,1.6702045459452547e-13,0.004691858472265844,0.22359345885407841,0.09263999623005828,0.08366548828323181,0.00018151677759728485
EEG Fc5,3.052737951638047e-10,1.8472506165292926e-10,0.6051127367608116,3.187875780781959e-11,0.10442677462935852,1.0808197186539027e-11,0.035404929469100135,5.904170756287761e-12,0.019340575083163242,5.457357555838367e-13,0.0017876927670486891,0.2620387495278589,0.011192240186463642,0.008167441085710275,5.6062074902691376e-05
