channel,total_power,delta_power,delta_ratio,theta_power,theta_ratio,alpha_power,alpha_ratio,beta_power,beta_ratio,gamma_power,gamma_ratio,low_freq_drift_ratio,high_freq_noise_ratio,line_50hz_ratio,line_60hz_ratio
EEG Fp1,4.104160938352557e-09,2.895979837565314e-09,0.705620437664363,3.3350828734619847e-10,0.08126101591914457,1.6459748873162142e-11,0.004010502784953948,2.4784963064372668e-11,0.0060389842008295,1.5523732176246424e-11,0.003782437484646441,0.21764810144811642,0.011088172586958378,0.0010860561165096734,0.0003078172611079892
EEG F3,1.4165711158532347e-10,3.292427176488707e-11,0.23242230055676372,1.2105780011942848e-11,0.08545832875218021,7.374191748533474e-12,0.052056629321372415,2.2803047534966443e-11,0.1609735457667554,1.365937185804461e-11,0.0964255991469743,0.14915683482179112,0.26704851166768245,0.043500022238449114,0.0064588089802706215
EEG C3,7.865815071938446e-11,1.891748760033291e-11,0.2405025725537544,1.0953797677362658e-11,0.13925826601798322,7.644526086654826e-12,0.09718669987458674,1.1508241623105918e-11,0.1463070453329363,2.4806515201639693e-12,0.03153711977050891,0.19271611798789076,0.10637060213145359,0.02124396714350295,0.0024608466569272284
EEG P3,1.268104230393043e-10,3.121508936989869e-11,0.24615554953415553,2.2252536081752445e-11,0.1754787623005987,1.7698682840306534e-11,0.13956804508743662,2.185228639835485e-11,0.17232247850464022,2.7108654146863356e-12,0.021377307556541433,0.13902838562379596,0.08446459334757793,0.047548209558463665,0.0007082374175304804
EEG O1,3.55054776181752e-10,8.412508085891047e-11,0.23693549982227805,3.750481813348061e-11,0.10563107624352011,2.2381447705547164e-11,0.06303660507326941,2.701881073803826e-11,0.07609758423361519,3.688110519276786e-12,0.010387440943447125,0.34428984618391595,0.03419810039388505,0.01480998975133078,0.0004155357466096338
EEG F7,2.57319731828308e-10,7.736742721604066e-11,0.30066651580245973,2.3825608915946383e-11,0.092591457120916,1.2400767434531108e-11,0.0481920579755823,2.3685625909832137e-11,0.09204745295489407,1.0231587651449164e-11,0.03976215729260906,0.2187753736214867,0.1646270763369185,0.02353868082672534,0.004691014882027466
EEG T3,1.5855507139142166e-10,4.74987907124621e-11,0.29957282536364166,2.482632686956903e-11,0.15657857331022093,1.5075179110675606e-11,0.09507850476418897,2.1091415579719016e-11,0.13302264881613954,4.786176016105403e-12,0.030186205802839747,0.164776477794478,0.10295437665772415,0.03246121527086539,0.0019433934022567575
EEG T5,2.1578092272848823e-10,6.196165735151297e-11,0.2871507664719637,3.545018153630112e-11,0.16428783920303835,2.2502923638209593e-11,0.10428597372588151,2.8180888025643758e-11,0.1305995343300254,4.569706751602498e-12,0.021177529013315263,0.19518768987443916,0.06594331011748546,0.02639234769754504,0.0008902517298539595
EEG Fc1,3.2830677998560585e-11,7.925609912455782e-12,0.24140865786577023,3.371963367209905e-12,0.10270769818880207,1.984813192478676e-12,0.06045605249351528,3.689907536774649e-12,0.11239206016203589,1.08566598372631e-12,0.03306864341253962,0.19880099125494044,0.2168925283243275,0.1327884572076941,0.002324861197264312
EEG Fc5,1.7424381043561016e-10,4.355215306957226e-11,0.24994949869778282,1.7678333834767498e-11,0.10145745659815174,9.950115016318272e-12,0.05710455362197916,1.8501261097179387e-11,0.1061803059226389,7.863936801088567e-12,0.04513179998433629,0.1867294310611898,0.1937169783769268,0.028797049796076224,0.0054674817024506685
