channel,mean,std,min,max,peak_to_peak,median,q01,q05,q25,q75,q95,q99,iqr,mad,nan_count,inf_count,nan_inf_ratio,flatline_total_sec,flatline_ratio,flatline_longest_sec,saturation_ratio,robust_z_outlier_ratio,low_variance_flag,high_variance_flag,extreme_peak_to_peak_flag
EEG Fp1,4.460715796614083e-06,4.328849352024111e-05,-0.00034649999999999997,0.0005965,0.000943,-1.25e-07,-9.025e-05,-4.5375e-05,-1.1374999999999999e-05,1.05e-05,7.8e-05,0.00019075,2.1874999999999996e-05,1.0875e-05,0,0,0.0,0.0,0.0,0.0,0.0,0.030003721355418067,False,False,False
EEG F3,5.2330882023413036e-06,1.4821620465173353e-05,-0.000478625,0.000383125,0.00086175,4.375e-06,-3.4374999999999995e-05,-1.4999999999999999e-05,-1.2499999999999999e-06,9.999999999999999e-06,2.9874999999999998e-05,5.7625e-05,1.1249999999999999e-05,5.6249999999999995e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.005155930892599712,False,False,False
EEG C3,3.1917356374686526e-06,4.329741525959323e-06,-0.000114875,0.000159,0.000273875,3.25e-06,-8.125e-06,-3.625e-06,6.249999999999999e-07,5.75e-06,9.999999999999999e-06,1.4249999999999999e-05,5.125e-06,2.5e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.00015509558205189814,False,False,False
EEG P3,6.184221171462046e-06,1.6255633213730584e-05,-0.00026375,0.0010659999999999999,0.0013297499999999998,5.75e-06,-2.1499999999999997e-05,-9.125e-06,8.75e-07,1.0624999999999999e-05,2.1e-05,3.9e-05,9.75e-06,4.875e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0045606548083853915,False,False,False
EEG O1,2.1517532414624657e-05,1.883526222754959e-05,-0.00018099999999999998,0.00033375,0.00051475,2.2e-05,-3.1e-05,-5.374999999999999e-06,1.3624999999999999e-05,2.9625e-05,4.425e-05,7.1375e-05,1.6e-05,7.999999999999998e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.004416117927078328,False,False,False
EEG F7,8.903107540015134e-06,2.9208884603840993e-05,-0.00063375,0.0007911249999999999,0.001424875,7.75e-06,-7.6875e-05,-3.3375e-05,-1.8749999999999998e-06,1.75e-05,5.7125e-05,0.00010949999999999999,1.9374999999999997e-05,9.749999999999998e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.00879199547242912,False,False,False
EEG T3,6.299183278631442e-06,1.313931059767605e-05,-0.000696125,0.00057825,0.001274375,6.5e-06,-3.2749999999999996e-05,-1.325e-05,5e-07,1.2499999999999999e-05,2.5375e-05,4.2125e-05,1.1999999999999999e-05,5.999999999999999e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0020055665470326764,False,False,False
EEG T5,4.860505572882247e-06,1.4990056219392972e-05,-0.00019175,0.000283125,0.00047487500000000004,4.875e-06,-3.975e-05,-1.7875e-05,-1.8749999999999998e-06,1.175e-05,2.7249999999999998e-05,4.8125e-05,1.3624999999999999e-05,6.75e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0021998466407376262,False,False,False
EEG Fc1,5.864179223503754e-06,6.737606096966782e-05,-0.004084625,0.003909999999999999,0.007994624999999998,6.125e-06,-9.5125e-05,-4.5875e-05,-1.8e-05,3.0124999999999997e-05,5.8e-05,0.000100875,4.8125e-05,2.4125e-05,0,0,0.0,0.0,0.0,0.0,0.0,0.004987812912962518,False,False,False
EEG Fc5,3.2099815709610373e-06,6.576515306752958e-05,-0.004076875,0.0038399999999999997,0.007916875,3.5e-06,-9.575e-05,-4.575e-05,-1.8874999999999998e-05,2.575e-05,5.2499999999999995e-05,9.5875e-05,4.4625e-05,2.225e-05,0,0,0.0,0.0,0.0,0.0,0.0,0.00548806069047333,False,False,False
