channel,total_power,delta_power,delta_ratio,theta_power,theta_ratio,alpha_power,alpha_ratio,beta_power,beta_ratio,gamma_power,gamma_ratio,low_freq_drift_ratio,high_freq_noise_ratio,line_50hz_ratio,line_60hz_ratio
EEG Fp1,1.2152344510580491e-09,7.913111344562417e-10,0.6511592341438998,3.589618240895802e-11,0.029538483193679087,5.507944237673487e-12,0.004532412846655204,3.5035737201336843e-12,0.0028830434465409393,1.1591427919363389e-12,0.0009538429320590164,0.3313377031041673,0.003255708395221992,0.00012868696405120796,9.04724949036496e-05
EEG F3,1.1966237218996175e-10,7.254621674485586e-11,0.6062575512851285,4.557539100361497e-12,0.03808665177660434,2.3549891188890984e-12,0.019680281075747,2.6599578622506623e-12,0.02222885785707164,1.011320656080806e-12,0.008451450840999153,0.2923653835608616,0.030896573840144458,0.001031031358238014,0.0009710128873001899
EEG C3,1.0924464023360591e-11,3.966352725490709e-12,0.363070693171689,9.266730614891565e-13,0.08482549436819808,7.290688260392319e-13,0.06673726276000452,5.829668288742888e-13,0.053363426125774924,1.9900465598649683e-13,0.018216422843349605,0.30855143742899377,0.05098698326842403,0.002028546109461088,0.0012838678220378676
EEG P3,4.140327186029307e-11,1.899480545911046e-11,0.4587754688374526,3.4485797201891217e-12,0.08329244441902209,2.8433892231836192e-12,0.06867547165784527,1.863255003093177e-12,0.04500260291941064,4.579619147316679e-13,0.011061007842012277,0.2675971548099305,0.028739175322273127,0.002450673254733326,0.0006886757190587496
EEG O1,1.0722693958722682e-10,5.86979689081173e-11,0.5474181127809562,1.1374232333649401e-11,0.10607625637209114,5.965480626274848e-12,0.05563415918834517,4.418884194592342e-12,0.04121057834535764,9.848361142465422e-13,0.00918459594237882,0.2109258486698049,0.024451811227265998,0.0009246506835528036,0.0006202792694782457
EEG F7,3.8365225699749604e-10,2.0188112178149943e-10,0.5262086123549562,9.4392880073312e-12,0.024603759876728176,3.765026157583587e-12,0.009813642664451104,3.766851192824287e-12,0.009818399668241419,1.7297392739849442e-12,0.004508612271753776,0.4130792662160838,0.016320315626304774,0.0006073649677766535,0.0004896241105242848
EEG T3,8.352021595788695e-11,2.7955070892817207e-11,0.33471023239347075,5.216950829506674e-12,0.06246333022099937,3.145074193886515e-12,0.0376564423093966,4.6333316748202475e-12,0.0554755710540367,3.2705270875393522e-12,0.039158508512339534,0.27616444205668644,0.1573620304081341,0.005320108523107238,0.004694515668576435
EEG T5,1.0924087167988015e-10,5.095734065994057e-11,0.4664677228983136,1.1000785627032665e-11,0.10070210405560849,5.395580357772172e-12,0.04939159011458093,5.306816157950239e-12,0.04857903526714207,1.6397789982951769e-12,0.01501067295673355,0.2484247382651484,0.03867384570562385,0.001443547255663545,0.0010241478988203768
EEG Fc1,8.22313949166777e-10,1.3580369057077495e-10,0.16514822679145874,1.1681927102220519e-11,0.014206164341560084,5.7698700778532206e-12,0.007016626780683504,6.496008961221904e-12,0.007899670153721812,2.6537808883295185e-12,0.003227211323629503,0.16364497049694393,0.5522001781315881,0.5416967612016088,0.0002884028644927999
EEG Fc5,7.53763697552366e-10,1.341197281497883e-10,0.17793338759256264,1.11294628029207e-11,0.014765188133974184,5.834558437166037e-12,0.007740567045231963,6.311948977546876e-12,0.008373909486544845,2.5864580679832276e-12,0.003431391132767494,0.18025466235170348,0.5202383452638875,0.5090239650001929,0.00030380244599009565
