sfreq,ch_a,ch_b,corr
512.0,EEG Fp1,EEG FP2,0.9538540122982955
512.0,EEG F3,EEG C3,0.9012707336864355
512.0,EEG F3,EEG Fc1,0.9677755906846484
512.0,EEG F3,EEG Cp1,0.9219047460705385
512.0,EEG F3,EEG Fz,0.9521346472267699
512.0,EEG F3,EEG Cz,0.928448649156278
512.0,EEG F3,EEG Fc2,0.903893690084364
512.0,EEG C3,EEG Fc1,0.9404408712568738
512.0,EEG C3,EEG Fc5,0.9012213079569825
512.0,EEG C3,EEG Cp1,0.9180903035564537
512.0,EEG P3,EEG O1,0.9239904921051987
512.0,EEG P3,EEG T5,0.951096241100291
512.0,EEG P3,EEG Fc1,0.941128651664469
512.0,EEG P3,EEG Cp1,0.9796010265253006
512.0,EEG P3,EEG Cp5,0.9684526231353235
512.0,EEG P3,EEG Fz,0.9036375411025787
512.0,EEG P3,EEG Cz,0.950796981600415
512.0,EEG P3,EEG Pz,0.9662615444778864
512.0,EEG P3,EEG P4,0.9060110849433596
512.0,EEG P3,EEG T6,0.904035119820614
512.0,EEG P3,EEG Fc2,0.9002518776194084
512.0,EEG P3,EEG Cp2,0.9084204763938406
512.0,EEG O1,EEG T5,0.9498884125317859
512.0,EEG O1,EEG Cp1,0.9110576910010648
512.0,EEG O1,EEG Cz,0.9016838413255078
512.0,EEG O1,EEG Pz,0.913918970576998
512.0,EEG O1,EEG O2,0.9174901231331043
512.0,EEG O1,EEG T6,0.9068665081066454
512.0,EEG T3,EEG T5,0.9371517104870303
512.0,EEG T3,EEG F9,0.9092632968343919
512.0,EEG T5,EEG Cp1,0.9347319766700629
512.0,EEG T5,EEG Cp5,0.925422407507927
512.0,EEG T5,EEG Cz,0.9123761551308566
512.0,EEG T5,EEG Pz,0.9405527345818082
512.0,EEG T5,EEG O2,0.9046730713573208
512.0,EEG T5,EEG T6,0.9265537099482778
512.0,EEG Fc1,EEG Fc5,0.9220456673223683
512.0,EEG Fc1,EEG Cp1,0.9720320284407664
512.0,EEG Fc1,EEG Cp5,0.9248184258657598
512.0,EEG Fc1,EEG Fz,0.9694250599704883
512.0,EEG Fc1,EEG Cz,0.9663999768514432
512.0,EEG Fc1,EEG Pz,0.932960409059156
512.0,EEG Fc1,EEG Fc2,0.9379426327838327
512.0,EEG Fc5,EEG Cp1,0.9045710839650156
512.0,EEG Cp1,EEG Cp5,0.9573500862154554
512.0,EEG Cp1,EEG Fz,0.9350730761146955
512.0,EEG Cp1,EEG Cz,0.9708904619147117
512.0,EEG Cp1,EEG Pz,0.9732983921039542
512.0,EEG Cp1,EEG P4,0.9109830135656896
512.0,EEG Cp1,EEG Fc2,0.9225900304356188
512.0,EEG Cp1,EEG Cp2,0.9266388151828324
512.0,EEG Cp5,EEG Cz,0.9240715571923044
512.0,EEG Cp5,EEG Pz,0.9201651624946003
512.0,EEG Fz,EEG Cz,0.9623952421475291
512.0,EEG Fz,EEG Pz,0.9115050831772226
512.0,EEG Fz,EEG Fc2,0.9588182568230194
512.0,EEG Cz,EEG Pz,0.9565605441249939
512.0,EEG Cz,EEG P4,0.9376828199194173
512.0,EEG Cz,EEG Fc2,0.9741294587776774
512.0,EEG Cz,EEG Cp2,0.9401373060628092
512.0,EEG Pz,EEG P4,0.9391857163508693
512.0,EEG Pz,EEG O2,0.9024389569260872
512.0,EEG Pz,EEG T6,0.9194172488679627
512.0,EEG Pz,EEG Fc2,0.9097052504818003
512.0,EEG Pz,EEG Cp2,0.9370039084302795
512.0,EEG F4,EEG C4,0.9424471306112066
512.0,EEG F4,EEG Fc2,0.9290657603714201
512.0,EEG C4,EEG Fc2,0.9241902248297433
512.0,EEG P4,EEG Fc2,0.9358003035707655
512.0,EEG P4,EEG Cp2,0.9453267745974225
512.0,EEG P4,EEG Cp6,0.914216210092407
512.0,EEG O2,EEG T6,0.9144249778946062
512.0,EEG Fc2,EEG Cp2,0.9304280860891899
512.0,EEG P9,EEG P10,0.9999108731192936
512.0,EEG P9,61,0.9997937821749248
512.0,EEG P9,62,0.9998948952695995
512.0,EEG P9,63,0.9998873564810692
512.0,EEG P9,64,0.9994598509095519
512.0,EEG P10,61,0.9997664126094801
512.0,EEG P10,62,0.9999052273979632
512.0,EEG P10,63,0.9998862155511736
512.0,EEG P10,64,0.9995121426236454
512.0,B,C,0.9304315727216643
512.0,B,D,0.9249111131622266
512.0,C,D,0.9181707773884555
512.0,61,62,0.9997471664160071
512.0,61,63,0.9998679486448483
512.0,61,64,0.9989127050852331
512.0,62,63,0.9998679785324345
512.0,62,64,0.9995506328968785
512.0,63,64,0.9992699927750809
