channel,mean,std,min,max,peak_to_peak,median,q01,q05,q25,q75,q95,q99,iqr,mad,nan_count,inf_count,nan_inf_ratio,flatline_total_sec,flatline_ratio,flatline_longest_sec,saturation_ratio,robust_z_outlier_ratio,low_variance_flag,high_variance_flag,extreme_peak_to_peak_flag
EEG Fp1,-3.1170055426251914e-07,0.00016703682472499329,-0.004096,0.0040956249999999994,0.008191625,-2.25e-06,-0.0002759812499999998,-8.599999999999999e-05,-1.8999999999999998e-05,1.2875e-05,6.3875e-05,0.000214,3.1874999999999996e-05,1.5875e-05,0,0,0.0,0.0,0.0,0.0,0.0,0.026906853711235384,False,False,False
EEG F3,8.68479509067584e-07,9.060875945356034e-05,-0.0009673749999999999,0.003537125,0.0045045,-2.5e-07,-0.000173,-5.5375e-05,-1.1874999999999999e-05,1.0624999999999999e-05,4.6e-05,0.000189875,2.2499999999999998e-05,1.1249999999999999e-05,0,0,0.0,0.0,0.0,0.0,0.0,0.02873139218988307,False,False,False
EEG C3,-7.720997223226202e-07,2.4260868204164342e-05,-0.001062,0.001716125,0.002778125,-1.125e-06,-6.149999999999999e-05,-3.1874999999999996e-05,-1.0624999999999999e-05,8.375e-06,3.125e-05,6.4125e-05,1.9e-05,9.5e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.003572620106761566,False,False,False
EEG P3,9.577806140180163e-07,1.9458377532730778e-05,-0.00042825,0.0006986249999999999,0.0011268749999999998,8.75e-07,-5.2875e-05,-2.575e-05,-8.125e-06,1.0124999999999999e-05,2.775e-05,5.05e-05,1.8249999999999996e-05,9.125e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0019168824669547535,False,False,False
EEG O1,-9.819505979521482e-07,3.866191448801068e-05,-0.0005647499999999999,0.0008491249999999999,0.0014138749999999998,-1.5e-06,-9.2625e-05,-4.0249999999999996e-05,-1.3749999999999999e-05,1.1e-05,3.7875e-05,7.475e-05,2.475e-05,1.2375e-05,0,0,0.0,0.0,0.0,0.0,0.0,0.006699655646288764,False,False,False
EEG F7,1.280882889205087e-06,3.8883992761724106e-05,-0.0019725,0.0009338749999999999,0.0029063749999999997,1.8749999999999998e-06,-0.00011787499999999999,-5.2375e-05,-1.275e-05,1.6e-05,5.3e-05,0.000116,2.875e-05,1.4374999999999999e-05,0,0,0.0,0.0,0.0,0.0,0.0,0.005730788478647687,False,False,False
EEG T5,1.062259644982047e-06,3.45761569776981e-05,-0.000588625,0.0016554999999999999,0.0022441249999999996,2.5e-07,-7.5375e-05,-3.6e-05,-1.1625e-05,1.2625e-05,4.0125e-05,7.437499999999999e-05,2.425e-05,1.2124999999999998e-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0035996778882816474,False,False,False
EEG Fc1,-2.1444562205095005e-06,1.002525491422577e-05,-0.00050375,0.000527625,0.001031375,-2.125e-06,-2.7624999999999997e-05,-1.5875e-05,-7.25e-06,3e-06,1.175e-05,2.3125e-05,1.025e-05,5.125e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0021425294706405693,False,False,False
EEG Fc5,-5.538469400876174e-07,2.8697692828704943e-05,-0.0013851249999999999,0.000744,0.002129125,-1.25e-07,-8.387499999999999e-05,-4.2999999999999995e-05,-1.2125e-05,1.1874999999999999e-05,4.0499999999999995e-05,7.774999999999999e-05,2.4e-05,1.2e-05,0,0,0.0,0.0,0.0,0.0,0.0,0.002788440915734621,False,False,False
EEG Cp1,-2.2450215543777006e-06,1.5209395569055763e-05,-0.00046812499999999995,0.00041424999999999996,0.0008823749999999999,-2.25e-06,-4.4999999999999996e-05,-2.3749999999999998e-05,-9.75e-06,5.374999999999999e-06,1.8874999999999998e-05,3.725e-05,1.5124999999999998e-05,7.499999999999999e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.001969012137773259,False,False,False
EEG Cp5,-2.756224158577461e-07,2.380097890607512e-05,-0.0008098749999999999,0.00111425,0.001924125,-6.249999999999999e-07,-6.225e-05,-3.1874999999999996e-05,-1.1125e-05,1.025e-05,3.2125e-05,6.0125e-05,2.1374999999999998e-05,1.0749999999999999e-05,0,0,0.0,0.0,0.0,0.0,0.0,0.002556339762328419,False,False,False
EEG F9,-1.4414790453617485e-06,6.865977028866632e-05,-0.001162375,0.0028035,0.003965875,-2e-06,-0.0001335,-5.9499999999999996e-05,-1.8e-05,1.4125e-05,5.2375e-05,0.000126375,3.2125e-05,1.6e-05,0,0,0.0,0.0,0.0,0.0,0.0,0.008776898910142349,False,False,False
EEG Fz,-1.5175623619804921e-06,2.4580501906313655e-05,-0.000569375,0.0009948749999999999,0.0015642499999999999,-2.75e-06,-4.9749999999999996e-05,-2.4874999999999998e-05,-9.999999999999999e-06,4.5e-06,2.4625e-05,7.45e-05,1.45e-05,7.25e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.011452143969242502,False,False,False
EEG Pz,2.2774534705452456e-07,1.811256653614555e-05,-0.00069925,0.00040875,0.001108,3.75e-07,-5.1124999999999996e-05,-2.4874999999999998e-05,-8.249999999999999e-06,9e-06,2.45e-05,4.5125e-05,1.725e-05,8.625e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0025878658013472294,False,False,False
EEG F4,5.558676785118505e-08,3.1681231257052615e-05,-0.0005059999999999999,0.000491875,0.000997875,-2.5e-07,-8.774999999999999e-05,-4.125e-05,-1.1249999999999999e-05,1.0375e-05,3.7875e-05,0.000109125,2.1624999999999997e-05,1.0874999999999998e-05,0,0,0.0,0.0,0.0,0.0,0.0,0.010181421183909507,False,False,False
EEG C4,2.4161369195733505e-06,2.1198359817785548e-05,-0.000849625,0.0013803749999999999,0.0022299999999999998,2.25e-06,-5.2625e-05,-2.6625e-05,-7.499999999999999e-06,1.2e-05,3.2125e-05,5.9749999999999995e-05,1.95e-05,9.75e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.00187071047280122,False,False,False
EEG P4,1.6754606835540323e-06,1.875367568927169e-05,-0.000617625,0.000584625,0.00120225,1.625e-06,-5.2e-05,-2.5375e-05,-7.625e-06,1.1e-05,2.9125e-05,5.3874999999999995e-05,1.8625e-05,9.375e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.001284624030884596,False,False,False
EEG O2,-8.249930617890506e-07,2.947671153894933e-05,-0.0009285,0.000536375,0.001464875,-1e-06,-8.1125e-05,-3.7875e-05,-1.3124999999999999e-05,1.1249999999999999e-05,3.575e-05,6.8125e-05,2.4374999999999996e-05,1.225e-05,0,0,0.0,0.0,0.0,0.0,0.0,0.00348896439692425,False,False,False
